INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I192078648,3114,Investigate Property,INVESTIGATE PROPERTY,B3,427,,2019-09-29 06:39:00,2019,9,Sunday,6,Part Three,WILMORE ST,42.2779637,-71.09246318,"(42.27796370, -71.09246318)"
I192078647,3115,Investigate Person,INVESTIGATE PERSON,A1, ,,2019-09-29 03:45:00,2019,9,Sunday,3,Part Three,NASHUA ST,42.36769032,-71.06586347,"(42.36769032, -71.06586347)"
I192078645,3301,Verbal Disputes,VERBAL DISPUTE,B3,450,,2019-09-29 06:00:00,2019,9,Sunday,6,Part Three,ASPINWALL RD,42.2918158,-71.07244098,"(42.29181580, -71.07244098)"
I192078642,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,D4,269,,2019-09-29 05:50:00,2019,9,Sunday,5,Part Three,ALBANY ST,,,"(0.00000000, 0.00000000)"
I192078640,3115,Investigate Person,INVESTIGATE PERSON,A7,28,,2019-09-29 01:30:00,2019,9,Sunday,1,Part Three,PARIS ST,42.37339168,-71.03647779,"(42.37339168, -71.03647779)"
I192078638,1402,Vandalism,VANDALISM,A1,75,,2019-09-29 04:46:00,2019,9,Sunday,4,Part Two,CAUSEWAY ST,42.36433126,-71.06319318,"(42.36433126, -71.06319318)"
I192078638,801,Simple Assault,ASSAULT - SIMPLE,A1,75,,2019-09-29 04:46:00,2019,9,Sunday,4,Part Two,CAUSEWAY ST,42.36433126,-71.06319318,"(42.36433126, -71.06319318)"
I192078637,3114,Investigate Property,INVESTIGATE PROPERTY,E5,563,,2019-09-29 04:57:00,2019,9,Sunday,4,Part Three,FIRTH RD,42.28861715,-71.12579957,"(42.28861715, -71.12579957)"
I192078636,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,B2,316,,2019-09-29 04:40:00,2019,9,Sunday,4,Part One,ABBOTSFORD ST,42.31462973,-71.0926152,"(42.31462973, -71.09261520)"
I192078635,3301,Verbal Disputes,VERBAL DISPUTE,B3,466,,2019-09-28 23:55:00,2019,9,Saturday,23,Part Three,GOODALE RD,42.2836283,-71.09349553,"(42.28362830, -71.09349553)"
I192078633,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,436,,2019-09-29 00:43:00,2019,9,Sunday,0,Part Three,WENTWORTH ST,42.28757867,-71.0752731,"(42.28757867, -71.07527310)"
I192078632,3301,Verbal Disputes,VERBAL DISPUTE,B3,429,,2019-09-29 00:33:00,2019,9,Sunday,0,Part Three,HARWOOD ST,42.2857651,-71.08763245,"(42.28576510, -71.08763245)"
I192078628,3115,Investigate Person,INVESTIGATE PERSON,B2,328,,2019-09-29 03:19:00,2019,9,Sunday,3,Part Three,MAGNOLIA ST,42.31193478,-71.07341982,"(42.31193478, -71.07341982)"
I192078624,3301,Verbal Disputes,VERBAL DISPUTE,B2,311,,2019-09-29 00:19:00,2019,9,Sunday,0,Part Three,MAYWOOD ST,42.31785924,-71.0810356,"(42.31785924, -71.08103560)"
I192078623,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY DAMAGE,C11,400,,2019-09-28 22:40:00,2019,9,Saturday,22,Part Three,MONTAGUE ST,42.28606484,-71.07001038,"(42.28606484, -71.07001038)"
I192078622,619,Larceny,LARCENY ALL OTHERS,C6,201,,2019-09-29 03:04:00,2019,9,Sunday,3,Part One,W BROADWAY,42.34006986,-71.0527942,"(42.34006986, -71.05279420)"
I192078621,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",B3,421,,2019-09-29 03:09:00,2019,9,Sunday,3,Part Two,W SELDEN ST,42.27967492,-71.08381263,"(42.27967492, -71.08381263)"
I192078619,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,111,,2019-09-29 01:00:00,2019,9,Sunday,1,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)"
I192078615,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,A7,25,,2019-09-29 02:25:00,2019,9,Sunday,2,Part Three,CONDOR ST,42.38258915,-71.03341969,"(42.38258915, -71.03341969)"
I192078613,423,Aggravated Assault,ASSAULT - AGGRAVATED,A7,17,,2019-09-29 02:30:00,2019,9,Sunday,2,Part One,CHELSEA ST,42.3791237,-71.0280821,"(42.37912370, -71.02808210)"
I192078613,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A7,17,,2019-09-29 02:30:00,2019,9,Sunday,2,Part Two,CHELSEA ST,42.3791237,-71.0280821,"(42.37912370, -71.02808210)"
I192078612,3114,Investigate Property,INVESTIGATE PROPERTY,D14,800,,2019-09-29 02:39:00,2019,9,Sunday,2,Part Three,BRIGHTON AVE,42.35272466,-71.12927406,"(42.35272466, -71.12927406)"
I192078611,1402,Vandalism,VANDALISM,D14,789,,2019-09-29 01:30:00,2019,9,Sunday,1,Part Two,BRAEMORE RD,42.3384014,-71.15158388,"(42.33840140, -71.15158388)"
I192078610,3501,Missing Person Reported,MISSING PERSON,D4,145,,2019-09-29 01:53:00,2019,9,Sunday,1,Part Three,DURHAM ST,42.34403563,-71.08117746,"(42.34403563, -71.08117746)"
I192078609,301,Robbery,ROBBERY - STREET,A1,119,,2019-09-29 01:01:00,2019,9,Sunday,1,Part One,TREMONT ST,42.35637531,-71.06213513,"(42.35637531, -71.06213513)"
I192078608,801,Simple Assault,ASSAULT - SIMPLE,E18,501,,2019-09-29 01:35:00,2019,9,Sunday,1,Part Two,CANTERBURY ST,42.27868789,-71.1173443,"(42.27868789, -71.11734430)"
I192078607,3114,Investigate Property,INVESTIGATE PROPERTY,D14,749,,2019-09-29 01:20:00,2019,9,Sunday,1,Part Three,COMMONWEALTH AVE,42.3390647,-71.15642795,"(42.33906470, -71.15642795)"
I192078606,3201,Property Lost,PROPERTY - LOST,C6,200,,2019-09-29 02:21:00,2019,9,Sunday,2,Part Three,W BROADWAY,42.34128751,-71.05467933,"(42.34128751, -71.05467933)"
I192078604,2906,Violations,VAL - OPERATING UNREG/UNINS CAR,B2,267,,2019-09-29 01:45:00,2019,9,Sunday,1,Part Two,DUDLEY ST,42.32643963,-71.07577308,"(42.32643963, -71.07577308)"
I192078604,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,B2,267,,2019-09-29 01:45:00,2019,9,Sunday,1,Part Two,DUDLEY ST,42.32643963,-71.07577308,"(42.32643963, -71.07577308)"
I192078603,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A7,23,,2019-09-29 01:30:00,2019,9,Sunday,1,Part Two,BENNINGTON ST,,,"(0.00000000, 0.00000000)"
I192078603,301,Robbery,ROBBERY - STREET,A7,23,,2019-09-29 01:30:00,2019,9,Sunday,1,Part One,BENNINGTON ST,,,"(0.00000000, 0.00000000)"
I192078602,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",B3,465,,2019-09-29 01:50:00,2019,9,Sunday,1,Part Two,BLUE HILL AVE,42.28482577,-71.09137369,"(42.28482577, -71.09137369)"
I192078602,3119,Firearm Discovery,FIREARM/WEAPON - FOUND OR CONFISCATED,B3,465,,2019-09-29 01:50:00,2019,9,Sunday,1,Part Three,BLUE HILL AVE,42.28482577,-71.09137369,"(42.28482577, -71.09137369)"
I192078602,3125,Warrant Arrests,WARRANT ARREST,B3,465,,2019-09-29 01:50:00,2019,9,Sunday,1,Part Three,BLUE HILL AVE,42.28482577,-71.09137369,"(42.28482577, -71.09137369)"
I192078602,1504,Other,WEAPON - OTHER - OTHER VIOLATION,B3,465,,2019-09-29 01:50:00,2019,9,Sunday,1,Part Two,BLUE HILL AVE,42.28482577,-71.09137369,"(42.28482577, -71.09137369)"
I192078601,3501,Missing Person Reported,MISSING PERSON,B2,587,,2019-09-28 22:15:00,2019,9,Saturday,22,Part Three,ALLEGHANY ST,42.33056977,-71.09959089,"(42.33056977, -71.09959089)"
I192078600,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,340,,2019-09-29 00:08:40,2019,9,Sunday,0,Part One,BOWDOIN ST,42.30811103,-71.06458431,"(42.30811103, -71.06458431)"
I192078599,1402,Vandalism,VANDALISM,B2,238,,2019-09-28 23:21:00,2019,9,Saturday,23,Part Two,WENDOVER ST,42.31882655,-71.06605368,"(42.31882655, -71.06605368)"
I192078597,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,B2,326,,2019-09-29 00:58:00,2019,9,Sunday,0,Part Two,FAYSTON ST,42.31224327,-71.07549901,"(42.31224327, -71.07549901)"
I192078596,3410,Towed,TOWED MOTOR VEHICLE,A7,21,,2019-09-29 00:30:00,2019,9,Sunday,0,Part Three,BREMEN ST,42.37346135,-71.03356923,"(42.37346135, -71.03356923)"
I192078594,613,Larceny,LARCENY SHOPLIFTING,D4,619,,2019-09-28 23:57:00,2019,9,Saturday,23,Part One,MASSACHUSETTS AVE,42.34439568,-71.08632016,"(42.34439568, -71.08632016)"
I192078592,3501,Missing Person Reported,MISSING PERSON,A7,30,,2019-09-28 23:11:00,2019,9,Saturday,23,Part Three,FRANKFORT ST,42.36956222,-71.03544834,"(42.36956222, -71.03544834)"
I192078590,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,603,,2019-09-29 00:32:00,2019,9,Sunday,0,Part One,PONTIAC ST,42.33118138,-71.1015755,"(42.33118138, -71.10157550)"
I192078589,3805,Motor Vehicle Accident Response,M/V ACCIDENT - POLICE VEHICLE,C6,199,,2019-09-29 00:26:00,2019,9,Sunday,0,Part Three,DORCHESTER AVE,42.33976143,-71.0570922,"(42.33976143, -71.05709220)"
I192078588,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A7,26,,2019-09-29 00:19:00,2019,9,Sunday,0,Part Two,MERIDIAN ST,42.3831816,-71.03930929,"(42.38318160, -71.03930929)"
I192078588,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A7,26,,2019-09-29 00:19:00,2019,9,Sunday,0,Part Two,MERIDIAN ST,42.3831816,-71.03930929,"(42.38318160, -71.03930929)"
I192078587,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,570,,2019-09-29 00:14:00,2019,9,Sunday,0,Part Three,ROCKVALE CIR,42.30734156,-71.1054409,"(42.30734156, -71.10544090)"
I192078586,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY DAMAGE,E18,485,,2019-09-28 23:33:00,2019,9,Saturday,23,Part Three,MATTAKEESET ST,42.26483674,-71.09966819,"(42.26483674, -71.09966819)"
I192078583,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,E18,478,,2019-09-28 23:26:00,2019,9,Saturday,23,Part Three,GREENFIELD RD,42.27080089,-71.10581184,"(42.27080089, -71.10581184)"
I192078582,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,906,,2019-09-28 22:26:00,2019,9,Saturday,22,Part Three,WALDEN ST,42.32561013,-71.10449956,"(42.32561013, -71.10449956)"
I192078581,801,Simple Assault,ASSAULT - SIMPLE,E13,639,,2019-09-28 23:04:00,2019,9,Saturday,23,Part Two,CENTRE ST,42.31495383,-71.11410163,"(42.31495383, -71.11410163)"
I192078580,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,337,,2019-09-28 23:13:00,2019,9,Saturday,23,Part Three,COLUMBIA RD,42.30969169,-71.07285868,"(42.30969169, -71.07285868)"
I192078578,3301,Verbal Disputes,VERBAL DISPUTE,C11,364,,2019-09-28 23:02:00,2019,9,Saturday,23,Part Three,LESLIE ST,42.29514664,-71.05860832,"(42.29514664, -71.05860832)"
I192078577,3115,Investigate Person,INVESTIGATE PERSON,A7,22,,2019-09-28 23:10:00,2019,9,Saturday,23,Part Three,LONDON ST,42.37568399,-71.03624887,"(42.37568399, -71.03624887)"
I192078576,3301,Verbal Disputes,VERBAL DISPUTE,B2,181,,2019-09-28 22:59:00,2019,9,Saturday,22,Part Three,CEDRIC ST,42.32571409,-71.07131716,"(42.32571409, -71.07131716)"
I192078575,3301,Verbal Disputes,VERBAL DISPUTE,B3,468,,2019-09-28 22:42:00,2019,9,Saturday,22,Part Three,WALK HILL ST,,,"(0.00000000, 0.00000000)"
I192078574,724,Auto Theft,AUTO THEFT,B2,238,,2019-09-28 23:17:18,2019,9,Saturday,23,Part One,DUDLEY TER,42.31814836,-71.06708346,"(42.31814836, -71.06708346)"
I192078573,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,309,,2019-09-28 18:29:00,2019,9,Saturday,18,Part Two,MARTIN LUTHER KING JR BLV,42.31860134,-71.08405792,"(42.31860134, -71.08405792)"
I192078572,3108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",D4,624,,2019-09-28 22:50:00,2019,9,Saturday,22,Part Three,IPSWICH ST,42.34717651,-71.09433704,"(42.34717651, -71.09433704)"
I192078570,3115,Investigate Person,INVESTIGATE PERSON,B3,466,,2019-09-28 22:40:00,2019,9,Saturday,22,Part Three,MORTON ST,42.28560167,-71.0931713,"(42.28560167, -71.09317130)"
I192078569,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,B3,449,,2019-09-28 22:44:00,2019,9,Saturday,22,Part Two,NORWELL ST,42.29217421,-71.07729507,"(42.29217421, -71.07729507)"
I192078568,3301,Verbal Disputes,VERBAL DISPUTE,E5,714,,2019-09-28 21:15:00,2019,9,Saturday,21,Part Three,TOBIN RD,42.25900645,-71.16067857,"(42.25900645, -71.16067857)"
I192078564,3410,Towed,TOWED MOTOR VEHICLE,C11,362,,2019-09-28 19:08:00,2019,9,Saturday,19,Part Three,MOULTRIE ST,42.29170195,-71.0689982,"(42.29170195, -71.06899820)"
I192078563,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,450,,2019-09-28 20:56:00,2019,9,Saturday,20,Part One,WHITFIELD ST,42.29276044,-71.07486603,"(42.29276044, -71.07486603)"
I192078563,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,450,,2019-09-28 20:56:00,2019,9,Saturday,20,Part Two,WHITFIELD ST,42.29276044,-71.07486603,"(42.29276044, -71.07486603)"
I192078563,423,Aggravated Assault,ASSAULT - AGGRAVATED,B3,450,,2019-09-28 20:56:00,2019,9,Saturday,20,Part One,WHITFIELD ST,42.29276044,-71.07486603,"(42.29276044, -71.07486603)"
I192078562,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C6,200,,2019-09-28 21:48:00,2019,9,Saturday,21,Part Three,W BROADWAY,42.34128751,-71.05467933,"(42.34128751, -71.05467933)"
I192078561,3810,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING BICYCLE - INJURY,D14,811,,2019-09-28 21:49:00,2019,9,Saturday,21,Part Three,WESTERN AVE,42.36312194,-71.13056327,"(42.36312194, -71.13056327)"
I192078559,3001,Medical Assistance,DEATH INVESTIGATION,E13,578,,2019-09-28 22:01:00,2019,9,Saturday,22,Part Three,WYMAN ST,42.32077767,-71.10553808,"(42.32077767, -71.10553808)"
I192078557,3501,Missing Person Reported,MISSING PERSON,D14,811,,2019-09-28 06:00:00,2019,9,Saturday,6,Part Three,RIVERDALE ST,,,"(0.00000000, 0.00000000)"
I192078556,2511,Other,KIDNAPPING - ENTICING OR ATTEMPTED,A1,123,,2019-09-28 20:49:00,2019,9,Saturday,20,Part Two,WASHINGTON ST,,,"(0.00000000, 0.00000000)"
I192078555,2405,Disorderly Conduct,DISORDERLY CONDUCT,A1,75,,2019-09-28 21:23:00,2019,9,Saturday,21,Part Two,CAUSEWAY ST,42.3649755,-71.062044,"(42.36497550, -71.06204400)"
I192078553,3410,Towed,TOWED MOTOR VEHICLE,D14,785,,2019-09-28 21:15:00,2019,9,Saturday,21,Part Three,RANSOM RD,42.34305189,-71.14524866,"(42.34305189, -71.14524866)"
I192078550,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,235,,2019-09-28 20:44:00,2019,9,Saturday,20,Part Three,CARSON ST,,,"(0.00000000, 0.00000000)"
I192078549,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,345,,2019-09-28 20:37:00,2019,9,Saturday,20,Part One,LONGFELLOW ST,,,"(0.00000000, 0.00000000)"
I192078548,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,C6, ,,2019-09-28 20:52:00,2019,9,Saturday,20,Part Three,DORCHESTER ST,,,"(0.00000000, 0.00000000)"
I192078547,3301,Verbal Disputes,VERBAL DISPUTE,C11,344,,2019-09-28 21:08:00,2019,9,Saturday,21,Part Three,GENEVA AVE,42.30135087,-71.06796465,"(42.30135087, -71.06796465)"
I192078546,3805,Motor Vehicle Accident Response,M/V ACCIDENT - POLICE VEHICLE,C11,345,,2019-09-28 21:22:00,2019,9,Saturday,21,Part Three,LONGFELLOW ST,,,"(0.00000000, 0.00000000)"
I192078545,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,, ,,2019-09-28 20:55:00,2019,9,Saturday,20,Part One,BREMEN,,,"(0.00000000, 0.00000000)"
I192078544,3125,Warrant Arrests,WARRANT ARREST,B2, ,,2019-09-28 20:31:00,2019,9,Saturday,20,Part Three,ELM HILL AVE,,,"(0.00000000, 0.00000000)"
I192078543,613,Larceny,LARCENY SHOPLIFTING,E13,635,,2019-09-28 20:27:00,2019,9,Saturday,20,Part One,CENTRE ST,42.31929343,-71.11178236,"(42.31929343, -71.11178236)"
I192078542,3201,Property Lost,PROPERTY - LOST,C6,186,,2019-09-28 09:00:00,2019,9,Saturday,9,Part Three,ALLSTATE RD,42.32809966,-71.06321676,"(42.32809966, -71.06321676)"
I192078541,2647,Other,THREATS TO DO BODILY HARM,B2,293,,2019-09-28 20:35:00,2019,9,Saturday,20,Part Two,LOGAN ST,42.32610373,-71.09042875,"(42.32610373, -71.09042875)"
I192078539,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,335,,2019-09-18 04:59:00,2019,9,Wednesday,4,Part One,HAMILTON ST,42.30658655,-71.06747889,"(42.30658655, -71.06747889)"
I192078538,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,206,,2019-09-28 16:35:00,2019,9,Saturday,16,Part Two,SEAPORT BLVD,42.35196451,-71.04611291,"(42.35196451, -71.04611291)"
I192078537,3115,Investigate Person,INVESTIGATE PERSON,D4,157,,2019-09-28 20:24:00,2019,9,Saturday,20,Part Three,SAN JUAN ST,42.34070886,-71.07473698,"(42.34070886, -71.07473698)"
I192078536,619,Larceny,LARCENY ALL OTHERS,C11,397,,2019-09-28 19:30:00,2019,9,Saturday,19,Part One,CENTRE ST,42.29126463,-71.06811401,"(42.29126463, -71.06811401)"
I192078535,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,421,,2019-09-28 19:28:00,2019,9,Saturday,19,Part Three,WOODDALE AVE,42.2761313,-71.08765351,"(42.27613130, -71.08765351)"
I192078534,619,Larceny,LARCENY ALL OTHERS,C11,359,,2019-09-28 19:56:53,2019,9,Saturday,19,Part One,WASHINGTON ST,,,"(0.00000000, 0.00000000)"
I192078533,613,Larceny,LARCENY SHOPLIFTING,D4,146,,2019-09-28 19:40:00,2019,9,Saturday,19,Part One,HUNTINGTON AVE,,,"(0.00000000, 0.00000000)"
I192078532,3301,Verbal Disputes,VERBAL DISPUTE,B3,944,,2019-09-28 19:05:00,2019,9,Saturday,19,Part Three,STRATTON ST,42.29017432,-71.08808525,"(42.29017432, -71.08808525)"
I192078531,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,336,,2019-09-28 18:37:00,2019,9,Saturday,18,Part Two,NORTON ST,42.30626521,-71.06864556,"(42.30626521, -71.06864556)"
I192078530,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C6,222,,2019-09-28 18:58:06,2019,9,Saturday,18,Part One,E BROADWAY,42.33557815,-71.03867318,"(42.33557815, -71.03867318)"
I192078529,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E5,822,,2019-09-27 23:00:00,2019,9,Friday,23,Part Two,EDGEMERE RD,42.25867638,-71.15116479,"(42.25867638, -71.15116479)"
I192078529,301,Robbery,ROBBERY - STREET,E5,822,,2019-09-27 23:00:00,2019,9,Friday,23,Part One,EDGEMERE RD,42.25867638,-71.15116479,"(42.25867638, -71.15116479)"
I192078528,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,309,,2019-09-28 18:52:00,2019,9,Saturday,18,Part Three,CHARLAME PL,42.31905213,-71.08411413,"(42.31905213, -71.08411413)"
I192078527,2905,Violations,VAL - OPERATING WITHOUT LICENSE,C11,461,,2019-09-28 18:35:00,2019,9,Saturday,18,Part Two,GENEVA AVE,42.3049039,-71.07414043,"(42.30490390, -71.07414043)"
I192078527,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY DAMAGE,C11,461,,2019-09-28 18:35:00,2019,9,Saturday,18,Part Three,GENEVA AVE,42.3049039,-71.07414043,"(42.30490390, -71.07414043)"
I192078526,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,754,,2019-09-28 11:47:00,2019,9,Saturday,11,Part Three,WASHINGTON ST,42.35057,-71.167812,"(42.35057000, -71.16781200)"
I192078525,3125,Warrant Arrests,WARRANT ARREST,C6,178,,2019-09-28 18:45:00,2019,9,Saturday,18,Part Three,MASSACHUSETTS AVE,42.32930936,-71.06898572,"(42.32930936, -71.06898572)"
I192078524,3410,Towed,TOWED MOTOR VEHICLE,A1, ,,2019-09-28 18:17:00,2019,9,Saturday,18,Part Three,CHARTER ST,,,"(0.00000000, 0.00000000)"
I192078522,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E5,736,,2019-09-28 18:10:00,2019,9,Saturday,18,Part Three,CENTRE ST,42.2853979,-71.1561609,"(42.28539790, -71.15616090)"
I192078521,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,E18,492,,2019-09-28 18:08:00,2019,9,Saturday,18,Part Two,BRADLEE ST,,,"(0.00000000, 0.00000000)"
I192078521,615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,E18,492,,2019-09-28 18:08:00,2019,9,Saturday,18,Part One,BRADLEE ST,,,"(0.00000000, 0.00000000)"
I192078520,2610,Other,TRESPASSING,E13,645,,2019-09-28 18:18:00,2019,9,Saturday,18,Part Two,CENTRE ST,42.31265126,-71.11414509,"(42.31265126, -71.11414509)"
I192078520,3115,Investigate Person,INVESTIGATE PERSON,E13,645,,2019-09-28 18:18:00,2019,9,Saturday,18,Part Three,CENTRE ST,42.31265126,-71.11414509,"(42.31265126, -71.11414509)"
I192078519,2647,Other,THREATS TO DO BODILY HARM,C11,402,,2019-09-27 10:30:00,2019,9,Friday,10,Part Two,DORCHESTER AVE,42.28526024,-71.06444063,"(42.28526024, -71.06444063)"
I192078518,3503,Missing Person Located,MISSING PERSON - NOT REPORTED - LOCATED,E5,672,,2019-09-28 17:47:00,2019,9,Saturday,17,Part Three,TYNDALE ST,42.28718557,-71.13680491,"(42.28718557, -71.13680491)"
I192078517,3301,Verbal Disputes,VERBAL DISPUTE,B3,445,,2019-09-28 17:33:00,2019,9,Saturday,17,Part Three,GREENWOOD ST,42.30007731,-71.07990164,"(42.30007731, -71.07990164)"
I192078516,3301,Verbal Disputes,VERBAL DISPUTE,B2,330,,2019-09-28 17:58:00,2019,9,Saturday,17,Part Three,BLUE HILL AVE,42.30703587,-71.08410227,"(42.30703587, -71.08410227)"
I192078514,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,152,,2019-09-28 17:43:00,2019,9,Saturday,17,Part Three,DARTMOUTH ST,42.34373406,-71.0741916,"(42.34373406, -71.07419160)"
I192078513,3410,Towed,TOWED MOTOR VEHICLE,E13,577,,2019-09-28 16:00:00,2019,9,Saturday,16,Part Three,DALRYMPLE ST,42.31517051,-71.1012512,"(42.31517051, -71.10125120)"
